Name,Year,Genres
Pike River,2025,Drama
Anniversary,2025,Thriller; Drama
Queens of the Dead,2025,Comedy; Horror
Bugonia,2025,Science Fiction; Crime; Thriller
Springsteen: Deliver Me from Nowhere,2025,Drama; Music
Regretting You,2025,Romance; Drama
Hedda,2025,Drama; Thriller
Arco,2025,Animation; Science Fiction; Adventure; Fantasy; Family
Sisu: Road to Revenge,2025,Action; War
The Hand That Rocks the Cradle,2025,Thriller
Vicious,2025,Horror; Thriller
The Twits,2025,Animation; Comedy; Family; Fantasy
The Thing with Feathers,2025,Drama
Stiller & Meara: Nothing Is Lost,2025,Documentary
R.L. Stine's Pumpkinhead,2025,Horror; Fantasy
Frankenstein,2025,Drama; Horror; Fantasy
Blue Moon,2025,Comedy; Drama; History; Music; Romance
Truth & Treason,2025,History; Drama; Thriller
Stitch Head,2025,Animation; Adventure; Family; Comedy
The Mastermind,2025,Crime; Drama
Icefall,2025,Action; Crime; Thriller
The Chronology of Water,2025,Drama
Black Phone 2,2025,Horror; Thriller
Ballad of a Small Player,2025,Crime; Drama; Thriller
Good Fortune,2025,Comedy; Fantasy
The Perfect Neighbor,2025,Documentary; Drama; Thriller
If I Had Legs I'd Kick You,2025,Drama; Thriller; Comedy
Deathstalker,2025,Action; Adventure; Fantasy
Your Host,2025,Horror
The Woman in Cabin 10,2025,Mystery; Drama; Thriller
Who Killed the Montreal Expos?,2025,Documentary
The Last Viking,2025,Comedy; Crime; Drama
Kiss of the Spider Woman,2025,Romance; Music; Drama; Thriller
After the Hunt,2025,Drama
TRON: Ares,2025,Science Fiction; Adventure; Action
Roofman,2025,Comedy; Drama; Crime
Nouvelle Vague,2025,Comedy; Drama; History
Maintenance Required,2025,Romance; Comedy
Die My Love,2025,Drama; Thriller
Urchin,2025,Drama
She Walks in Darkness,2025,Drama; Thriller
Killing Faith,2025,Thriller; Western
Shelby Oaks,2025,Horror; Mystery
A House of Dynamite,2025,War; Thriller
Coyotes,2025,Horror; Comedy
Bone Lake,2025,Horror; Thriller; Mystery
Anemone,2025,Drama
The Smashing Machine,2025,History; Drama
Shell,2025,Drama; Horror; Thriller
Good Boy,2025,Horror; Thriller
Play Dirty,2025,Crime
It Was Just an Accident,2025,Drama; Thriller; Crime
Eleanor the Great,2025,Drama
"Bau, Artist at War",2025,Drama; History; Comedy; Romance
The Astronaut,2025,Horror; Science Fiction; Thriller
The Strangers: Chapter 2,2025,Horror; Thriller
All That's Left of You,2025,Drama
No Other Choice,2025,Crime; Thriller; Comedy
One Battle After Another,2025,Action; Thriller; Crime
Dead of Winter,2025,Action; Thriller
I Swear,2025,Drama; History
Xeno,2025,Adventure; Drama; Mystery; Science Fiction
V/H/S/HALLOWEEN,2025,Horror; Thriller
Steve,2025,Drama; Comedy
Prisoner of War,2025,Action; War; Thriller; History
Predators,2025,Documentary
My Father's Shadow,2025,Drama
The Lost Bus,2025,Drama; Mystery; Thriller
In Whose Name?,2025,Documentary; Music
Chainsaw Man - The Movie: Reze Arc,2025,Animation; Action; Romance; Fantasy
Adulthood,2025,Comedy; Crime; Drama; Mystery
Untitled Home Invasion Romance,2025,Comedy; Action; Thriller
London Calling,2025,Action; Crime; Comedy; Thriller
HIM,2025,Horror; Mystery
Beast of War,2025,Action; Horror; Thriller; War
Altered,2025,Science Fiction; Action
Left-Handed Girl,2025,Drama
A Big Bold Beautiful Journey,2025,Romance; Fantasy; Drama
Gabby's Dollhouse: The Movie,2025,Family; Comedy; Adventure; Animation
Rabbit Trap,2025,Horror; Mystery; Thriller
The Man in My Basement,2025,Horror; Mystery; Thriller
The History of Sound,2025,Drama; Music; Romance
Code 3,2025,Action; Comedy
Bodyguard of Lies,2025,Documentary
Bang Bang,2025,Drama
The Mysterious Gaze of the Flamingo,2025,Drama
The Long Walk,2025,Horror; Thriller
Downton Abbey: The Grand Finale,2025,Drama; Romance
Swiped,2025,History; Drama
Twinless,2025,Comedy; Drama
The Threesome,2025,Comedy; Romance; Drama
Stolen Girl,2025,Thriller; Action; Adventure
John Candy: I Like Me,2025,Documentary
The Cut,2025,Thriller; Drama
The Conjuring: Last Rites,2025,Horror
The Toxic Avenger Unrated,2025,Action; Comedy; Science Fiction
Exit 8,2025,Horror; Mystery; Thriller
A Useful Ghost,2025,Comedy; Drama; Fantasy
The Roses,2025,Comedy; Drama; Romance
Caught Stealing,2025,Comedy; Crime; Thriller
Put Your Soul on Your Hand and Walk,2025,Documentary
Lurker,2025,Drama; Thriller; Crime
Splitsville,2025,Comedy
Relay,2025,Thriller
Primitive War,2025,Action; Horror; War
Honey Don't!,2025,Comedy; Crime
Eenie Meanie,2025,Thriller; Action; Comedy
Sentimental Value,2025,Drama
Alpha,2025,Drama; Horror; Science Fiction
Afterburn,2025,Science Fiction; Action; Comedy
Night Always Comes,2025,Thriller; Drama; Crime
Americana,2025,Crime; Thriller; Western; Action
Nobody 2,2025,Action; Thriller
The Baltimorons,2025,Comedy; Drama
What We Hide,2025,Drama; Thriller; Mystery
KINKI,2025,Horror; Mystery
Boys Go to Jupiter,2025,Animation; Comedy; Music
Freakier Friday,2025,Comedy; Fantasy; Family
Weapons,2025,Horror; Mystery
She Rides Shotgun,2025,Action; Crime; Thriller
The Naked Gun,2025,Comedy; Action; Crime
Dracula,2025,Fantasy; Horror; Romance
War of the Worlds,2025,Science Fiction; Thriller
Together,2025,Horror
The Pickup,2025,Action; Comedy; Crime
Influencers,2025,Horror; Thriller
Happy Gilmore 2,2025,Comedy
The Home,2025,Horror; Mystery; Thriller
The Bad Guys 2,2025,Animation; Family; Comedy; Crime; Adventure
The Secret Agent,2025,Crime; Drama; Thriller
The Fantastic 4: First Steps,2025,Science Fiction; Adventure
2000 Meters to Andriivka,2025,Documentary; War
Dead to Rights,2025,Drama; History; War
I Know What You Did Last Summer,2025,Horror; Mystery; Thriller
Eddington,2025,Western; Comedy; Crime
Sovereign,2025,Crime; Drama; Thriller
Solitary,2025,Drama
Sore: A Wife from the Future,2025,Fantasy; Romance; Drama; Science Fiction
Broken Voices,2025,Drama; Thriller
Superman,2025,Science Fiction; Adventure; Action
Other,2025,Horror; Thriller; Science Fiction
Smurfs,2025,Animation; Family; Fantasy
Videoheaven,2025,Documentary
The Piano Accident,2025,Comedy
Jurassic World Rebirth,2025,Science Fiction; Adventure; Action
"Sorry, Baby",2025,Comedy; Drama
Ice Road: Vengeance,2025,Action; Thriller; Drama
"13 Days, 13 Nights: In the Hell of Kabul",2025,Action; Thriller; War
Reflection in a Dead Diamond,2025,Action; Mystery; Thriller
M3GAN 2.0,2025,Action; Science Fiction; Thriller
Little Amélie or the Character of Rain,2025,Animation; Drama; Family
F1,2025,Action; Drama
Heads of State,2025,Action; Thriller; Comedy
KPop Demon Hunters,2025,Animation; Comedy; Fantasy; Music
Bride Hard,2025,Action; Comedy
Elio,2025,Animation; Family; Comedy; Adventure; Science Fiction
28 Years Later,2025,Horror; Thriller; Science Fiction
Trainwreck: Mayor of Mayhem,2025,Documentary
The Unholy Trinity,2025,Western; Adventure; Crime
Diablo,2025,Action; Thriller
Materialists,2025,Romance; Drama
Deep Cover,2025,Action; Comedy; Crime
Titan: The OceanGate Submersible Disaster,2025,Documentary; Drama
Sirāt,2025,Drama; Thriller
Paradise Records,2025,Action; Comedy; Music
I Don't Understand You,2025,Horror; Comedy
How to Train Your Dragon,2025,Fantasy; Family; Action; Adventure
Predator: Killer of Killers,2025,Action; Animation; Science Fiction; Thriller
The Life of Chuck,2025,Fantasy; Drama
Dangerous Animals,2025,Horror; Thriller
Ballerina,2025,Action; Thriller; Crime
Bring Her Back,2025,Horror
The Phoenician Scheme,2025,Comedy; Adventure
Bad Shabbos,2025,Comedy
Mission: Impossible - The Final Reckoning,2025,Action; Adventure; Thriller
Lilo & Stitch,2025,Family; Science Fiction; Comedy; Adventure
Hurry Up Tomorrow,2025,Music; Thriller; Drama
Final Destination Bloodlines,2025,Horror; Mystery
Sharp Corner,2025,Thriller; Comedy
Juliet & Romeo,2025,Romance; Drama
Friendship,2025,Comedy
Wick Is Pain,2025,Documentary
Ocean with David Attenborough,2025,Documentary
Karate Kid: Legends,2025,Action; Adventure; Drama
Clown in a Cornfield,2025,Horror; Mystery; Thriller
Shadow Force,2025,Action; Drama; Thriller
Rust,2025,Western
Rosario,2025,Horror
Nonnas,2025,Comedy
Thunderbolts*,2025,Action; Science Fiction; Adventure
The Old Woman with the Knife,2025,Action; Mystery; Drama
The Things You Kill,2025,Thriller; Drama
Havoc,2025,Action; Crime; Thriller
On Swift Horses,2025,Romance; Drama
Until Dawn,2025,Horror; Mystery
The Accountant²,2025,Mystery; Crime; Thriller
The Legend of Ochi,2025,Family; Fantasy; Adventure
